number_id,City,Name,Description,Longitude,Latitude
0,London,Big Ben,Historic clock tower at the Houses of Parliament,-0.124625,51.500729
1,London,Tower Bridge,Iconic Victorian bridge over the Thames,-0.075356,51.505456
2,London,British Museum,World-renowned museum with vast historical collections,-0.127758,51.519413
3,London,London Eye,Giant observation wheel offering city views,-0.119543,51.503399
4,London,Buckingham Palace,Official residence of the British monarch,-0.141890,51.501364
5,London,Westminster Abbey,Gothic church and UNESCO World Heritage site,-0.127799,51.499633
6,London,St Paul's Cathedral,Anglican cathedral with stunning architecture,-0.098351,51.513870
7,London,Tower of London,Historic castle and former prison,-0.076254,51.508112
8,London,Hyde Park,One of London's largest parks,-0.165765,51.505359
9,London,Trafalgar Square,Famous square with Nelson's Column,-0.128299,51.508039
10,London,Covent Garden,Popular shopping and entertainment area,-0.122800,51.512711
11,London,Natural History Museum,Museum showcasing natural wonders,-0.176764,51.496715
12,London,Tate Modern,Modern art gallery in former power station,-0.099175,51.507595
13,London,Shakespeare's Globe,Reconstruction of famous Elizabethan theater,-0.097205,51.508056
14,London,Piccadilly Circus,Major traffic junction and tourist attraction,-0.133869,51.510067
15,London,Royal Albert Hall,Prestigious concert hall,-0.177366,51.501324
16,London,London Bridge,Historic bridge and business district,-0.088438,51.507595
17,London,Kew Gardens,Botanical gardens with diverse plant life,-0.295573,51.478868
18,London,Camden Market,Vibrant market area with unique shops,-0.142714,51.541147
19,London,The Shard,Tallest building in Western Europe,-0.086667,51.504444
20,Munich,Marienplatz,Central square with historic buildings,11.576754,48.137428
21,Munich,Frauenkirche,Cathedral of Munich with distinctive towers,11.573581,48.138631
22,Munich,English Garden,Large public park with beer gardens,11.586900,48.164167
23,Munich,Nymphenburg Palace,Baroque palace with extensive gardens,11.503333,48.158333
24,Munich,Viktualienmarkt,Gourmet food market and square,11.576293,48.135553
25,Munich,BMW Museum,Automobile museum showcasing BMW history,11.555723,48.177074
26,Munich,Allianz Arena,Famous football stadium,11.624736,48.218796
27,Munich,Deutsches Museum,World's largest science and technology museum,11.583250,48.129833
28,Munich,Olympiapark,Site of 1972 Olympics with observation tower,11.551667,48.171944
29,Munich,Residenz,Former royal palace in city center,11.578293,48.140474
30,Munich,Hofbräuhaus,Historic beer hall and tourist attraction,11.579786,48.137917
31,Munich,Peterskirche,Munich's oldest church,11.576126,48.136391
32,Munich,Karlsplatz,Historic city gate and shopping area,11.565725,48.139376
33,Munich,Pinakothek Museums,Three museums of art and architecture,11.570278,48.148333
34,Munich,Asam Church,Baroque church with ornate interior,11.571111,48.133889
35,Munich,Bavaria Statue,Monument overlooking Oktoberfest grounds,11.546944,48.131667
36,Munich,Königsplatz,Square with classical buildings,11.565556,48.145833
37,Munich,Theatinerkirche,Yellow-colored baroque church,11.577500,48.142500
38,Munich,Chinese Tower,Famous beer garden in English Garden,11.591667,48.151944
39,Munich,Maximilianstrasse,Luxury shopping street,11.583333,48.138333
40,Berlin,Brandenburg Gate,Iconic 18th-century neoclassical monument,13.377722,52.516272
41,Berlin,East Side Gallery,Longest remaining section of Berlin Wall,13.439167,52.505278
42,Berlin,Reichstag Building,Historic parliament building with glass dome,13.376111,52.518611
43,Berlin,Museum Island,UNESCO World Heritage site with five museums,13.401944,52.517222
44,Berlin,Checkpoint Charlie,Former Berlin Wall crossing point,13.390278,52.507222
45,Berlin,Berlin TV Tower,Tallest structure in Germany,13.409444,52.520833
46,Berlin,Potsdamer Platz,Modern city square and entertainment district,13.376389,52.509722
47,Berlin,Berlin Cathedral,Largest church in the city,13.401389,52.519167
48,Berlin,Charlottenburg Palace,Largest palace in Berlin,13.295833,52.520556
49,Berlin,Gendarmenmarkt,Historic square with concert hall,13.392778,52.513611
50,Berlin,Holocaust Memorial,Memorial to murdered Jews of Europe,13.378333,52.513611
51,Berlin,Kaiser Wilhelm Church,Partially ruined church and memorial,13.335278,52.504722
52,Berlin,Tiergarten,Berlin's largest park,13.350000,52.516667
53,Berlin,DDR Museum,Interactive museum about East German life,13.402778,52.519444
54,Berlin,Pergamon Museum,Museum of ancient artifacts,13.396944,52.521389
55,Berlin,Berlin Zoo,Oldest zoo in Germany,13.337500,52.508611
56,Berlin,Hackesche Höfe,Art nouveau courtyard complex,13.402500,52.522778
57,Berlin,Nikolaiviertel,Berlin's oldest residential area,13.407778,52.517222
58,Berlin,Victory Column,Monument commemorating Prussian victories,13.350278,52.514722
59,Berlin,Unter den Linden,Historic boulevard in central Berlin,13.383333,52.517222
60,Amsterdam,Dam Square,Historic central square,4.892222,52.373056
61,Amsterdam,Anne Frank House,Historic house and museum,4.884167,52.375278
62,Amsterdam,Rijksmuseum,National museum of arts and history,4.885278,52.360000
63,Amsterdam,Van Gogh Museum,Museum dedicated to Vincent van Gogh,4.881389,52.358333
64,Amsterdam,Royal Palace,Official residence of Dutch monarch,4.891389,52.373056
65,Amsterdam,Vondelpark,Large public park,4.868333,52.358333
66,Amsterdam,Canal Ring,UNESCO World Heritage canal system,4.882778,52.366667
67,Amsterdam,Oude Kerk,Amsterdam's oldest building,4.898333,52.374444
68,Amsterdam,NEMO Science Museum,Science center in ship-shaped building,4.912222,52.374167
69,Amsterdam,Artis Zoo,Oldest zoo in the Netherlands,4.915833,52.366111
70,Amsterdam,Heineken Experience,Historic brewery and museum,4.891667,52.357778
71,Amsterdam,Amsterdam Museum,City history museum,4.889722,52.370000
72,Amsterdam,Rembrandt House,Historic house and art museum,4.901389,52.369444
73,Amsterdam,Flower Market,Floating flower market,4.892500,52.366944
74,Amsterdam,Jordaan,Historic neighborhood with cafes,4.883333,52.373889
75,Amsterdam,Maritime Museum,Naval history museum,4.915278,52.371944
76,Amsterdam,Royal Concert Hall,Premier concert venue,4.883611,52.356389
77,Amsterdam,Amsterdam Dungeon,Historical horror attraction,4.896389,52.371667
78,Amsterdam,Madame Tussauds,Wax museum,4.892778,52.372500
79,Amsterdam,EYE Film Museum,National museum for cinema,4.901111,52.384167
80,Warsaw,Royal Castle,Historic castle and museum,21.012500,52.247778
81,Warsaw,Old Town Market Place,Historic central marketplace,21.012222,52.249444
82,Warsaw,Palace of Culture and Science,Landmark high-rise building,21.006111,52.231944
83,Warsaw,Wilanów Palace,Baroque royal palace,21.090556,52.165833
84,Warsaw,Łazienki Park,Largest park in Warsaw,21.035278,52.215278
85,Warsaw,POLIN Museum,Museum of Polish Jewish history,20.993333,52.249722
86,Warsaw,Warsaw Uprising Museum,World War II history museum,20.981944,52.232222
87,Warsaw,Copernicus Science Centre,Interactive science museum,21.028889,52.237222
88,Warsaw,St. John's Cathedral,Gothic cathedral,21.013889,52.248889
89,Warsaw,Multimedia Fountain Park,Park with fountain shows,21.015278,52.253889
90,Warsaw,National Museum,Art and cultural history museum,21.024167,52.232222
91,Warsaw,Nowy Świat Street,Historic shopping street,21.020278,52.237500
92,Warsaw,Saxon Garden,Oldest public park in Warsaw,21.009722,52.240833
93,Warsaw,Warsaw Zoo,City zoo with diverse species,21.037778,52.254722
